ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
310,20201229,20210110,20210105,21768,SO43697,3578.27
346,20201229,20210110,20210105,28389,SO43698,3399.99
346,20201229,20210110,20210105,25863,SO43699,3399.99
336,20201229,20210110,20210105,14501,SO43700,699.0982
346,20201229,20210110,20210105,11003,SO43701,3399.99
311,20201230,20210111,20210106,27645,SO43702,3578.27
310,20201230,20210111,20210106,16624,SO43703,3578.27
351,20201230,20210111,20210106,11005,SO43704,3374.99
344,20201230,20210111,20210106,11011,SO43705,3399.99
312,20201231,20210112,20210107,27621,SO43706,3578.27
312,20201231,20210112,20210107,27616,SO43707,3578.27
330,20201231,20210112,20210107,20042,SO43708,699.0982
313,20201231,20210112,20210107,16351,SO43709,3578.27
314,20201231,20210112,20210107,16517,SO43710,3578.27
314,20210101,20210113,20210108,27606,SO43711,3578.27
311,20210101,20210113,20210108,13513,SO43712,3578.27
310,20210102,20210114,20210109,27601,SO43713,3578.27
311,20210102,20210114,20210109,13591,SO43714,3578.27
314,20210102,20210114,20210109,16483,SO43715,3578.27
311,20210102,20210114,20210109,16529,SO43716,3578.27
336,20210102,20210114,20210109,25249,SO43717,699.0982
311,20210103,20210115,20210110,27668,SO43718,3578.27
312,20210103,20210115,20210110,27612,SO43719,3578.27
311,20210103,20210115,20210110,13264,SO43720,3578.27
310,20210103,20210115,20210110,13590,SO43721,3578.27
312,20210104,20210116,20210111,13581,SO43722,3578.27
332,20210104,20210116,20210111,14520,SO43723,699.0982
311,20210104,20210116,20210111,16520,SO43724,3578.27
311,20210105,20210117,20210112,13258,SO43725,3578.27
332,20210105,20210117,20210112,14560,SO43726,699.0982
311,20210105,20210117,20210112,16607,SO43727,3578.27
313,20210106,20210118,20210113,27666,SO43728,3578.27
346,20210106,20210118,20210113,11238,SO43729,3399.99
346,20210106,20210118,20210113,25861,SO43730,3399.99
314,20210106,20210118,20210113,16629,SO43731,3578.27
350,20210106,20210118,20210113,11025,SO43732,3374.99
312,20210106,20210118,20210113,27577,SO43733,3578.27
312,20210107,20210119,20210114,27604,SO43734,3578.27
310,20210107,20210119,20210114,16522,SO43735,3578.27
346,20210107,20210119,20210114,11002,SO43736,3399.99
311,20210108,20210120,20210115,13261,SO43737,3578.27
312,20210108,20210120,20210115,11606,SO43738,3578.27
310,20210108,20210120,20210115,13563,SO43739,3578.27
312,20210108,20210120,20210115,16527,SO43740,3578.27
310,20210109,20210121,20210116,27671,SO43741,3578.27
314,20210109,20210121,20210116,13576,SO43742,3578.27
347,20210109,20210121,20210116,11007,SO43743,3399.99
313,20210109,20210121,20210116,16631,SO43744,3578.27
311,20210110,20210122,20210117,16514,SO43745,3578.27
312,20210110,20210122,20210117,16616,SO43746,3578.27
314,20210111,20210123,20210118,27623,SO43747,3578.27
313,20210111,20210123,20210118,27625,SO43748,3578.27
314,20210111,20210123,20210118,27636,SO43749,3578.27
311,20210111,20210123,20210118,11591,SO43750,3578.27
313,20210111,20210123,20210118,11592,SO43751,3578.27
311,20210111,20210123,20210118,13265,SO43752,3578.27
310,20210111,20210123,20210118,16482,SO43753,3578.27
312,20210112,20210124,20210119,27617,SO43754,3578.27
311,20210112,20210124,20210119,27670,SO43755,3578.27
332,20210112,20210124,20210119,19941,SO43756,699.0982
350,20210112,20210124,20210119,11017,SO43757,3374.99
310,20210113,20210125,20210120,27646,SO43758,3578.27
310,20210113,20210125,20210120,13257,SO43759,3578.27
314,20210113,20210125,20210120,16352,SO43760,3578.27
310,20210113,20210125,20210120,16493,SO43761,3578.27
314,20210114,20210126,20210121,27578,SO43762,3578.27
313,20210114,20210126,20210121,16525,SO43763,3578.27
310,20210114,20210126,20210121,16612,SO43764,3578.27
346,20210114,20210126,20210121,11010,SO43765,3399.99
313,20210115,20210127,20210122,16518,SO43766,3578.27
350,20210115,20210127,20210122,11001,SO43767,3374.99
312,20210116,20210128,20210123,27649,SO43768,3578.27
312,20210116,20210128,20210123,21659,SO43769,3578.27
312,20210116,20210128,20210123,27614,SO43770,3578.27
330,20210116,20210128,20210123,14559,SO43771,699.0982
312,20210116,20210128,20210123,16524,SO43772,3578.27
314,20210116,20210128,20210123,16526,SO43773,3578.27
313,20210116,20210128,20210123,16348,SO43774,3578.27
347,20210116,20210128,20210123,11027,SO43775,3399.99
314,20210117,20210129,20210124,13260,SO43776,3578.27
311,20210117,20210129,20210124,16515,SO43777,3578.27
345,20210117,20210129,20210124,11018,SO43778,3399.99
326,20210117,20210129,20210124,25252,SO43779,699.0982
311,20210118,20210130,20210125,11599,SO43780,3578.27
312,20210118,20210130,20210125,16495,SO43781,3578.27
312,20210118,20210130,20210125,16516,SO43782,3578.27
312,20210118,20210130,20210125,16620,SO43783,3578.27
310,20210119,20210131,20210126,27667,SO43784,3578.27
311,20210119,20210131,20210126,11601,SO43785,3578.27
311,20210119,20210131,20210126,11607,SO43786,3578.27
344,20210119,20210131,20210126,29385,SO43787,3399.99
351,20210119,20210131,20210126,11239,SO43788,3374.99
351,20210119,20210131,20210126,25865,SO43789,3374.99
344,20210119,20210131,20210126,25857,SO43790,3399.99
314,20210119,20210131,20210126,16484,SO43791,3578.27
312,20210119,20210131,20210126,16623,SO43792,3578.27
344,20210119,20210131,20210126,11000,SO43793,3399.99
347,20210119,20210131,20210126,11029,SO43794,3399.99
312,20210120,20210201,20210127,27615,SO43795,3578.27
342,20210120,20210201,20210127,17956,SO43796,699.0982
312,20210120,20210201,20210127,16345,SO43797,3578.27
310,20210120,20210201,20210127,16521,SO43798,3578.27
312,20210120,20210201,20210127,16636,SO43799,3578.27
311,20210121,20210202,20210128,21710,SO43800,3578.27
311,20210121,20210202,20210128,13583,SO43801,3578.27
312,20210121,20210202,20210128,11593,SO43802,3578.27
314,20210122,20210203,20210129,21741,SO43803,3578.27
310,20210122,20210203,20210129,13585,SO43804,3578.27
328,20210122,20210203,20210129,14510,SO43805,699.0982
312,20210122,20210203,20210129,16523,SO43806,3578.27
312,20210123,20210204,20210130,11611,SO43807,3578.27
313,20210123,20210204,20210130,13259,SO43808,3578.27
310,20210123,20210204,20210130,16350,SO43809,3578.27
345,20210123,20210204,20210130,11004,SO43810,3399.99
346,20210123,20210204,20210130,11026,SO43811,3399.99
312,20210124,20210205,20210131,27662,SO43812,3578.27
350,20210124,20210205,20210131,28390,SO43813,3374.99
350,20210124,20210205,20210131,25866,SO43814,3374.99
311,20210124,20210205,20210131,16494,SO43815,3578.27
314,20210124,20210205,20210131,16496,SO43816,3578.27
310,20210124,20210205,20210131,16519,SO43817,3578.27
312,20210124,20210205,20210131,16528,SO43818,3578.27
346,20210124,20210205,20210131,11006,SO43819,3399.99
312,20210125,20210206,20210201,27651,SO43820,3578.27
310,20210125,20210206,20210201,27663,SO43821,3578.27
313,20210125,20210206,20210201,27669,SO43822,3578.27
342,20210125,20210206,20210201,19942,SO43823,699.0982
338,20210125,20210206,20210201,14558,SO43824,699.0982
313,20210125,20210206,20210201,16349,SO43825,3578.27
348,20210125,20210206,20210201,11008,SO43826,3374.99
338,20210125,20210206,20210201,25250,SO43827,699.0982
310,20210126,20210207,20210202,27605,SO43828,3578.27
310,20210126,20210207,20210202,27611,SO43829,3578.27
311,20210126,20210207,20210202,16347,SO43830,3578.27
349,20210126,20210207,20210202,11028,SO43831,3374.99
310,20210126,20210207,20210202,13584,SO43832,3578.27
310,20210127,20210208,20210203,21727,SO43833,3578.27
348,20210127,20210208,20210203,28393,SO43834,3374.99
348,20210127,20210208,20210203,19802,SO43835,3374.99
324,20210127,20210208,20210203,26620,SO43836,699.0982
350,20210127,20210208,20210203,11009,SO43837,3374.99
313,20210128,20210209,20210204,27641,SO43838,3578.27
311,20210128,20210209,20210204,27673,SO43839,3578.27
326,20210128,20210209,20210204,17957,SO43840,699.0982
314,20210128,20210209,20210204,13406,SO43841,3578.27
312,20210128,20210209,20210204,16630,SO43842,3578.27
313,20210129,20210210,20210205,22041,SO43918,3578.27
314,20210129,20210210,20210205,12124,SO43919,3578.27
313,20210129,20210210,20210205,28066,SO43920,3578.27
313,20210129,20210210,20210205,16743,SO43921,3578.27
310,20210129,20210210,20210205,13546,SO43922,3578.27
312,20210130,20210211,20210206,28018,SO43923,3578.27
310,20210130,20210211,20210206,12132,SO43924,3578.27
314,20210130,20210211,20210206,16661,SO43925,3578.27
351,20210131,20210212,20210207,11055,SO43926,3374.99
314,20210131,20210212,20210207,16662,SO43927,3578.27
313,20210131,20210212,20210207,16740,SO43928,3578.27
322,20210131,20210212,20210207,25270,SO43929,699.0982
312,20210201,20210213,20210208,28038,SO43930,3578.27
313,20210201,20210213,20210208,13548,SO43931,3578.27
314,20210201,20210213,20210208,16741,SO43932,3578.27
347,20210201,20210213,20210208,11031,SO43933,3399.99
346,20210201,20210213,20210208,11034,SO43934,3399.99
334,20210202,20210214,20210209,20048,SO43935,699.0982
311,20210202,20210214,20210209,28065,SO43936,3578.27
312,20210202,20210214,20210209,17047,SO43937,3578.27
310,20210202,20210214,20210209,16686,SO43938,3578.27
312,20210202,20210214,20210209,16659,SO43939,3578.27
336,20210202,20210214,20210209,25294,SO43940,699.0982
314,20210203,20210215,20210210,13600,SO43941,3578.27
310,20210203,20210215,20210210,17051,SO43942,3578.27
338,20210203,20210215,20210210,14565,SO43943,699.0982
344,20210203,20210215,20210210,11054,SO43944,3399.99
310,20210203,20210215,20210210,16675,SO43945,3578.27
313,20210203,20210215,20210210,16687,SO43946,3578.27
310,20210203,20210215,20210210,16712,SO43947,3578.27
345,20210203,20210215,20210210,11047,SO43948,3399.99
310,20210204,20210216,20210211,27726,SO43949,3578.27
311,20210204,20210216,20210211,28014,SO43950,3578.27
311,20210204,20210216,20210211,16696,SO43951,3578.27
312,20210204,20210216,20210211,16639,SO43952,3578.27
342,20210205,20210217,20210212,20049,SO43953,699.0982
311,20210205,20210217,20210212,13602,SO43954,3578.27
314,20210205,20210217,20210212,13661,SO43955,3578.27
344,20210205,20210217,20210212,11030,SO43956,3399.99
313,20210206,20210218,20210213,28068,SO43957,3578.27
312,20210206,20210218,20210213,16658,SO43958,3578.27
348,20210206,20210218,20210213,11035,SO43959,3374.99
349,20210206,20210218,20210213,11046,SO43960,3374.99
311,20210207,20210219,20210214,28031,SO43961,3578.27
312,20210207,20210219,20210214,28076,SO43962,3578.27
314,20210207,20210219,20210214,16685,SO43963,3578.27
312,20210207,20210219,20210214,16745,SO43964,3578.27
351,20210207,20210219,20210214,11038,SO43965,3374.99
347,20210207,20210219,20210214,11039,SO43966,3399.99
313,20210208,20210220,20210215,28040,SO43967,3578.27
313,20210208,20210220,20210215,28067,SO43968,3578.27
310,20210208,20210220,20210215,28071,SO43969,3578.27
311,20210208,20210220,20210215,16684,SO43970,3578.27
314,20210208,20210220,20210215,16657,SO43971,3578.27
314,20210209,20210221,20210216,21939,SO43972,3578.27
312,20210209,20210221,20210216,28039,SO43973,3578.27
312,20210209,20210221,20210216,13687,SO43974,3578.27
312,20210209,20210221,20210216,13540,SO43975,3578.27
310,20210209,20210221,20210216,28063,SO43976,3578.27
312,20210209,20210221,20210216,16703,SO43977,3578.27
310,20210210,20210222,20210217,28030,SO43978,3578.27
322,20210210,20210222,20210217,14576,SO43979,699.0982
351,20210210,20210222,20210217,11048,SO43980,3374.99
314,20210210,20210222,20210217,16664,SO43981,3578.27
342,20210210,20210222,20210217,25271,SO43982,699.0982
314,20210211,20210223,20210218,28017,SO43983,3578.27
311,20210211,20210223,20210218,13545,SO43984,3578.27
313,20210211,20210223,20210218,13515,SO43985,3578.27
310,20210211,20210223,20210218,28070,SO43986,3578.27
310,20210212,20210224,20210219,28042,SO43987,3578.27
344,20210212,20210224,20210219,11244,SO43988,3399.99
312,20210212,20210224,20210219,28083,SO43989,3578.27
